"codfamilia";"codsubcuentacom";"codsubcuentairpfcom";"codsubcuentaven";"descripcion";"madre";"numproductos"
"120";"";"";"";"120 MIN";"";0
"codfamilia";"codsubcuentacom";"codsubcuentairpfcom";"codsubcuentaven";"descripcion";"madre";"numproductos"
"1440";"";"";"";"1440 MIN";"";0
"codfamilia";"codsubcuentacom";"codsubcuentairpfcom";"codsubcuentaven";"descripcion";"madre";"numproductos"
"30";"";"";"";"30 MIN";"";0
"codfamilia";"codsubcuentacom";"codsubcuentairpfcom";"codsubcuentaven";"descripcion";"madre";"numproductos"
"60";"";"";"";"60 MIN";"";0
"codfamilia";"codsubcuentacom";"codsubcuentairpfcom";"codsubcuentaven";"descripcion";"madre";"numproductos"
"90";"";"";"";"90 MIN";"";0
